claim_id,claim,status,d_level,source_keys,shared_limitation
C46,"At a matched budget of four criteria, coval_core scores 0.6563 pairwise concordance and a deterministic sort of the release's own human importance ratings scores 0.6589-0.6600 -- statistically indistinguishable, and numerically ahead. Core does beat selection rules that cannot see the ratings: random-4 by +1.4pp and a text-only mechanical rule by 0 to +2.0pp. So compilation adds real work over a blind selector and no measurable work over a free sort of data already collected.",partial,7,independentdesignaseed8101;independentdesignbseed4409,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C74,"The -0.95 correlation between criterion text length and judge decisiveness, which two K13 designs reported and which I passed on as K18's mechanism, is an ARM-LEVEL correlation over roughly thirteen points, each an arm's mean. At the level the mechanism would have to operate -- the individual criterion -- it is -0.036 over 14,984 instances and -0.037 over 18,811, i.e. r-squared about 0.001. An ecological correlation was read as an individual one, by them and then by me.",settled,8,independentdesignk18aseed810;independentdesignk18bseed440,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C75,"Holding authorship and criterion count fixed and varying only text length inside coval_full, the SHORTER four-criterion subset scores WORSE, not better: -0.0287 [-0.0424, -0.0149]. Core beats the terse human subset by +0.1009 [+0.0892, +0.1126], more than it beats full at large. Controlling for log length does not shrink core's advantage at all -- the style-explained share is 1.035 [1.022, 1.050], i.e. slightly negative. And core (88.2 chars, decisiveness 0.219) is MORE decisive than a 65.1-char human subset (0.211), so decisiveness does not track brevity.",settled,8,independentdesignk18aseed810;independentdesignk18bseed440,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C76,"298 of coval_core's 3,828 criteria (7.8%) match a coval_full criterion exactly after normalisation. The release carries no provenance link, but that subset IS provenance for 7.8% of the compilation, and it makes one proxy-free retention test possible.",settled,9,independentdesignk8bseed4409,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C77,"The rater-count distribution has a literal hole: 63.5% of criteria carry exactly one rating, ZERO carry two or three, about 2.4% carry four to nine, and 34.0% carry ten or more. My earlier statement that 0.2% lie between counted only n=2 and n=3 and understated the 4-9 band by an order of magnitude. The jump from 1 straight to 4 is a protocol signature, not a sampling curve: two collection regimes were glued together.",settled,9,independentdesignk8bseed4409,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C78,"Among 4,127 coval_full criteria on which raters split by sign, the ones whose satisfaction fingerprint survives detectably into the compiled arm side with the rater MAJORITY 88.7% of the time [86.7%, 90.7%], and the rate scales monotonically with how lopsided the split is: 58.1% at the weakest splits, 98.1% at the strongest. The failure mode is not that dissent is erased at random -- it is that the majority takes the compiled criterion.",partial,7,independentdesignk8aseed8101,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C79,"Both K8 designs find the raw association -- contested criteria are retained far less often. They DISAGREE on whether it survives adjustment for rating magnitude, and the disagreement is a design difference, not noise: A regresses a continuous matchability score linearly on |mean rating| and gets +0.003 [-0.019, 0.025], a magnitude-mediated null; B fits a logistic on a thresholded nearest-neighbour retention indicator with standardised |mean| and log rater count and gets OR 0.354 [0.247, 0.493]. B additionally has a proxy-free arm A did not use as an outcome: among the 286 multi-rated criteria KNOWN to have been copied verbatim into core, 11.2% are contested against a 40.9% population base rate, z=-10.2 -- but that arm is unadjusted for magnitude, which is exactly the quantity in dispute.",partial,4,independentdesignk8aseed8101;independentdesignk8bseed4409,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C148,"Rounds r116-r119 reported counts of harmed people under compilation. Re-measured with a within-person floor -- split each annotator's own prompt set in half at random and compute the identical gain on each half -- the between-person spread does NOT exceed that floor under either baseline: 0.06870 against 0.06130 (full_equal), 0.05348 against 0.05062 (full_signed). '12.8% of people are harmed' and '59.4% of people are harmed' are statements about how many prompts each person happened to see, not about people. Every person-level sacrifice COUNT this project has published on this data is withdrawn.",settled,8,independentdesignk5aseed8101;r131whoisserved,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C149,"The person-level spread is noise-dominated, but it is not structureless: if it were, no covariate could predict it. Two do, after partialling out a person's prompt count -- the noise-shrinkage confound, named before the control ran and only weakly related to either covariate. Against the signed baseline, where the aggregate favours full, a person's deviation from their peers' rating means predicts a HIGHER gain (partial r +0.099, permutation p 0.0025) and the number of criteria they rated predicts a LOWER one (-0.129, p 0.0000). full's ratings encode the majority's view, so the ratings-free compiled arm is relatively kinder to the people furthest from it. SECOND CONTROL, which three agreeing designs had all skipped: a person far from consensus may simply be HARDER TO PREDICT AT ALL, and if both arms regress toward chance for them the gap between the better arm and the worse one shrinks for a reason that has nothing to do with compilation. The confound is real -- distance from consensus correlates -0.199 with a person's own best-arm accuracy -- and it splits the two baselines. Against full_equal both gradients vanish entirely (-0.003, p 0.92; -0.006, p 0.84): they WERE the artifact. Against full_signed both survive attenuated: dev_from_mean +0.074 (p 0.0205) and n_rated -0.109 (p 0.0005). About half a percent of variance, on one baseline convention only.",partial,5,independentdesignk5aseed8101;r131whoisserved,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C186,"Compilation reproduces a person's own ranking 1.25pp worse than that person's own importance-weighted full arm [-2.01, -0.48], which is BH-significant and Cohen's d -0.047. But core also trails a NON-personalised pooled full arm by 2.05pp, a LARGER gap. So the shortfall is dominated by having four criteria instead of fifteen, not by losing the person's own weighting. The redistribution story, at the level this project originally posed it, is not what the data shows.",partial,6,independentdesignk5aseed8101,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C260,"The dispute is settled on the one ground truth the release offers. 365 of 3,899 coval_core criteria (9.4%) have a verbatim twin in coval_full, so for those retention is a fact and not a proxy. Among the 5,564 full criteria with at least four raters, 10.9% of the copied are contested against 43.0% of the not-copied; adjusted for |mean rating|, log rater count and the criterion's own across-response discriminability, contested carries OR 0.3164 [0.1958, 0.4786]. The release's own documented selection signal moves as it must (|mean rating| OR 1.5379 [1.3188, 1.8055]), so the contested coefficient is a measurement and not a silence. Neither earlier design ran this: one had ground truth but no adjustment, the other had adjustment but only a proxy.",settled,8,r132verbatimadjudication,"Stated in the release's own DATASET_CARD: this is a verification that the documented method does what it documents, not a finding. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C346,"The release's third ranking block is a VETO -- 'C is unacceptable' with a rationale -- carried by 2,422 of 15,593 assessments, and 132 rounds of this campaign never opened it. A veto is not a preference: no ordering expresses 'never produce this'. Measured on the 2,275 cells where a person ruled out some but not all responses: the person's OWN world ranking puts one of their own vetoed responses first only 3.90% of the time, so the veto IS expressible in the ranking task. The compiled arm does it 15.47% of the time, the sign-corrected uncompiled arm 13.80%, and a RANDOM top 37.82%. But a DIFFERENT annotator's own top choice on the same prompt lands on this person's vetoed set 17.19% of the time -- so the compiled standard violates LESS often than a human peer in the same position. What loses the veto is aggregation across people, not the compilation step. Every collective standard pays roughly one veto in six, and it is invisible in every aggregate concordance number the field reports. DOWNGRADED by a held-out split swept over 12 partitions: the ORDERING is stable everywhere -- 0.039 self, 0.138 full_signed, 0.155 core, 0.278 full_equal, 0.378 chance -- but the specific core-versus-peer comparison FAILS in 7 of 12 held-out halves, with the confirmation-half mean at -0.0105 over a range of [-0.0417, +0.0132] that crosses zero. On the full sample it was -0.0172 [-0.0311, -0.0040] at p 0.0155, i.e. a small effect whose CI barely excluded zero, and halving the data was enough to unmake it. The sentence 'core beats a human peer, significantly' is withdrawn; 'core is not worse than a human peer' survives.",partial,6,r133theveto,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C430,"Criterion AUTHORSHIP is not in the release, so ratings are the only proxy for a person's values. Scoring a person's four responses with their OWN signed ratings and re-scoring with a STRANGER's ratings of exactly the same criteria -- same set, different numbers -- own wins by +0.0398 [+0.0359, +0.0439] over 14,925 cells, far above a placebo that attaches the same weights to the wrong criteria (0.5595 against 0.6661). So the ratings carry real information. But the advantage is the SAME SIZE whether the target is the impersonal `world` ranking or the explicitly personal one, and that holds on the powered subset where the two rankings actually differ: +0.0356 [+0.0247,+0.0462] against +0.0332 [+0.0226,+0.0436], with personal if anything SMALLER. What was elicited is a shared standard some people express better than others, not individual values.",settled,7,independentdesigna2bseed4409;r134doratingsindividuate,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C565,"Rounds r116 through r119 reported that 12.46% of people suffer a concordance loss above 0.01 under compilation, and built a multidimensional sacrifice programme on counts of that shape. The number was computed against ONE baseline (full_equal, which reads a criterion rated -10 as if satisfying it were good) and with NO within-person floor. Both defects are individually fatal to it.",refuted,3,r123thebaselinewascrippled;r131whoisserved,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C566,"The prompt-level companion to the person-level count, 17.05% against full_equal. It inherits the baseline defect exactly (35.54% against full_signed) and was never given a within-prompt floor of its own.",refuted,3,r123thebaselinewascrippled,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C660,"An attack on A4 that FAILED, and informatively. On the 1,588 assessments where a person's `world` and `personal` rankings actually differ -- the only cells where the question exists, since on the rest every arm scores identically against both by construction -- the compiled arm reaches 0.6482 against `world` and 0.6391 against `personal`, a gap of +0.0091 whose CI [-0.0039, +0.0221] includes zero. The difficulty control, the pooled crowd's own Borda ordering, shows +0.0441 [+0.0305, +0.0581]: direct aggregation of world rankings IS strongly world-biased. The rubric is not. Choosing `world` as the target costs little at the rubric level, and this is a point in the release's favour.",settled,7,r135whichtarget,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C811,"The campaign's own standard detector reported `confirmatory` ABSENT in all 128 rounds: every finding was discovered and tested on the same prompts. Splitting them by a sha256 of the prompt id and recomputing every settled headline on the half it was not found on, swept over 12 independent salts because the partition is itself a researcher degree of freedom: full_equal accuracy 11/12 CONFIRMED, core accuracy 10/12, full_signed 10/12, the contested-criteria log-odds 10/12 (always negative, range -1.85 to -0.69), the polarity ratio 8/12 (always between +0.087 and +0.119, never near the 0.362 a faithful compilation would give), own-minus-stranger 7/12 (always positive, always tiny). The veto arm's core-versus-peer comparison FAILED in 7 of 12.",settled,8,r136heldoutconfirmation,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. One release, one annotator panel, one judge; no external replication is available at this site."
C863,"The release does NOT ship its own satisfaction scores, so r04 rebuilt one with a local Qwen3.5-2B. Every claim routed through it is therefore a claim about what a 2B model thinks, not about what CoVal's compilation does -- and this campaign has been stating the second while measuring the first. The corpus splits cleanly. INSTRUMENT-FREE, counted directly off the release: 63.5% of criteria have exactly one rater and ZERO have two or three; 25.6% carry a negative mean; among multi-rated negatives 99.1% have at least one rater on the positive side; 7.8-9.4% of core criteria are verbatim copies of a full criterion; 48.4% of people's world and personal rankings differ; 26.7% of assessments carry a veto; and contested criteria are 2.3-3.2x less likely to be copied verbatim. INSTRUMENT-DEPENDENT, i.e. conditional on one local judge: the polarity ratio, every arm concordance, own-versus-stranger, the veto violation rates, and the whole person-level analysis.",settled,9,sessionpartition20260730,"Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C916,"The judge is exactly deterministic given a batching and not across batchings: on 480 fixed prompts, batch=1 disagrees with batch=48 on 165 of 480 judgements up to 5.4e-02, and length-sorting on 158 up to 6.2e-02, because Qwen3.5's gated-delta recurrence does not fully mask left-pad tokens. The stored tensors were produced at batch 48 in file order, an unregistered implementation choice under every published number. Re-scoring the ENTIRE grid under length-sorted batching changes every single one of 75,244 judgements -- zero identical, mean |delta| 9.5e-03, max 6.4e-02 -- and moves the arm concordances and their gaps by at most 0.0007 against a pre-registered tolerance of 0.005. A defect that touches 100% of the values is immaterial where the claims are, because ~16 criteria and tens of thousands of ordered pairs average it away. Bounds one dimension of the instrument's arbitrariness at under 0.001.",settled,8,r137batchgauge,"Every source routes through one locally rebuilt 2B satisfaction judge; the release ships no satisfaction labels. The judge is not polarity-symmetric (asking VIOLATE rather than SATISFY moves the core-minus-full contrast from -0.0223 to +0.0708), and the arms differ precisely in their negatively-rated criteria. Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C970,"No model anywhere in this. Over 5,564 coval_full criteria rated by at least four people (92,463 ratings from 1,158 raters), the share of rating variance that is BETWEEN criteria rather than between raters of the same criterion is ICC(1) = 0.2698 [0.2586, 0.2809]. There IS a shared object -- a rater-style null that reassigns each person's own numbers across the criteria they rated, preserving their scale usage and extremeness exactly, returns 0.0008 (sd 0.0012) -- but it accounts for barely a quarter of what people said mattered. Seventy-three percent of the variance is about WHO IS RATING. So an aggregate is a summary of a minority of the variance and may not be stated as the panel's view. This sizes A3 rather than killing it, which is the more useful thing to have done.",settled,9,r138isthereastandard,"Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
C1187,"The polarity route rebuilt with no benchmark and no judge, after both were challenged and both objections landed. Verbatim retention gives a decisive but SEMANTICALLY AMBIGUOUS fact: 0 of 3,905 negatively-rated criteria appear verbatim in core against 372 of 11,343 positive ones, Fisher exact one-sided p 3.26e-49. It does not establish dropping, because full's negative criteria state the bad behaviour affirmatively and such a line must be negated before it can sit in a rubric at all -- a fact about phrasing. (The reading that core cannot write prohibitions is separately FALSE: 21.7% of core's criteria carry prohibition markers, above full's own 19.1% and 19.7%.) The channel that does work is lexical presence: strip negation from both sides, and each full criterion's maximum Jaccard overlap against its OWN prompt's core criteria is 0.1246 for negatives against 0.1911 for a magnitude-matched positive subset, z = -32.8 over 20 draws. Their content is not there in rephrased form either.",settled,8,r140polaritywithoutthejudge,"Discovered and tested on the same prompts; no held-out confirmation. One release, one annotator panel, one judge; no external replication is available at this site."
