source_key,round,claim_id,licensed_claim,limitation,instrument_free,control_saturated,held_out,replication_breadth_0_3,prior_art_in_card,d_level
independentdesignk18aseed810,independent-design-K18-A-seed-8101,C75,"short4 - long4 = -0.0287, Wilcoxon p=3.1e-5, survives BH over 6 cells; core - short4 = +0.1009 (rank-biserial +0.50); style-attributable share -26% vs sham and -43% vs long4, both NEGATIVE. Label-shuffle negative control returns 0.4992; list-position placebo +0.0009 (p=0.78) despite a real length gap.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
independentdesignk18bseed440,independent-design-K18-B-seed-4409,C75,"r_style = 1.035 [1.022, 1.050] over 5 seeds x 2000 draws; length-matched tercile (63.9 chars, shorter than core's 88.2) still trails core by -0.081 [-0.088,-0.073], which is 117% of the raw gap. All 6 pre-registered tests reject under Holm.",conditional on the rebuilt 2B judge,0,0,0,2,0,8
independentdesignk8bseed4409,independent-design-K8-B-seed-4409,C76,298/3828 exact-text matches after normalisation; the remaining 92% are paraphrased or synthesised and are not recoverable by reading text.,conditional on the rebuilt 2B judge,0,0,0,1,0,9
independentdesignk8bseed4409,independent-design-K8-B-seed-4409,C77,Verified independently while checking the facts it was handed rather than taking them from the brief -- which is why the understatement was caught.,conditional on the rebuilt 2B judge,0,0,0,1,0,9
independentdesignk8aseed8101,independent-design-K8-A-seed-8101,C78,"997 majority-side / 127 minority-side / 3,003 washed out; binomial p=5.7e-168; prompt-clustered bootstrap CI [86.7%, 90.7%]; stable at rater thresholds 5/10/15 (88.1% / 88.7% / 88.6%). Positive control on 304 exact-text matches: median r=0.866 against a null median of 0.007.",conditional on the rebuilt 2B judge,0,0,0,1,1,7
independentdesignk8aseed8101,independent-design-K8-A-seed-8101,C79,"Raw -0.098 [-0.117,-0.079]; magnitude-adjusted +0.003 [-0.019,0.025]; magnitude-quintile-matched +0.008 with no consistent sign; robust at rater thresholds 5/10/15. Verdict UNVERIFIED on its own pre-registered bar.",conditional on the rebuilt 2B judge,0,0,0,2,0,5
independentdesignk8bseed4409,independent-design-K8-B-seed-4409,C79,"Adjusted OR 0.354 [0.247,0.493], retention 2.6% vs 13.9% (-11.3pp); unadjusted OR 0.168, so the magnitude confound is real and large but the effect survives it; stable in both rater-count regimes (4-9: 0.387; >=10: 0.356); mismatched-prompt placebo returns OR ~0.82, near null. Verdict CONFIRMED.",conditional on the rebuilt 2B judge,0,0,0,2,0,6
independentdesignk5aseed8101,independent-design-K5-A-seed-8101,C148,"Reached the same conclusion from a different direction and more starkly: median WITHIN-person sd of the person-prompt gain is 23.15pp against a BETWEEN-person sd of 8.51pp, so the between-person spread is about a THIRD of its own resampling floor. ICC 0.022 with permutation p 0.0 over 5 seeds -- real structure, tiny share of variance, and it warns against over-reading that p at n=15,031.",conditional on the rebuilt 2B judge,0,0,0,1,0,8
r131whoisserved,r131-who-is-served,C148,"975 annotators with >=4 prompts and >=8 ordered pairs, 15,103 person-prompt cells, 200 random half-splits per person. Mean gain +0.06809 [+0.06373,+0.07242] against full_equal and -0.01887 [-0.02218,-0.01545] against full_signed; worst decile -0.04907 and -0.11114. WORLD: W-UNIFORM under the pre-registered 1.5x-floor rule.",conditional on the rebuilt 2B judge,0,1,0,1,0,8
independentdesignk5aseed8101,independent-design-K5-A-seed-8101,C149,"Distance from pooled consensus predicts a LESS negative person-level gain, rho +0.133 (p 2.6e-5), the same sign as the +0.099 partial found here; engagement (criteria rated per prompt) rho -0.215, also the same sign as -0.129. CRUCIALLY it baselines against the person's OWN importance-weighted full arm, not the pooled one, and offers a rival reading for its own version: an idiosyncratic rater's own ratings predict their own ranking more noisily, which weakens their personal baseline rather than core serving them better. That reading cannot explain the pooled-baseline version, so the two designs agreeing on sign across DIFFERENT baselines is worth more than either alone.",conditional on the rebuilt 2B judge,0,0,0,1,0,7
r131whoisserved,r131-who-is-served,C149,"dev_from_mean raw +0.109 -> partial +0.099 (p 0.0025); n_rated raw -0.133 -> partial -0.129 (p 0.0000); correlations of each covariate with prompt count are -0.085 and +0.037, so exposure is not the driver. Adding the person's own best-arm accuracy as a second control kills both gradients under full_equal and attenuates both under full_signed to +0.074 (p 0.0205) and -0.109 (p 0.0005). The claim as first stated here -- +0.099 at p 0.0025, unqualified -- was an overstatement on both counts: it was one control short, and it was baseline-conditional.",conditional on the rebuilt 2B judge,0,1,0,1,0,5
independentdesignk5aseed8101,independent-design-K5-A-seed-8101,C186,"core vs personal -1.25pp (p 0.0014, two-way cluster on person x prompt, 15,031 rows, 79,640 pairs); core vs full_pooled -2.05pp (p 1.6e-8). Below its own pre-registered 2.0pp practical floor, hence UNVERIFIED rather than OVERTURNED. Sign-convention spec cell: against UNSIGNED pooled full, core WINS by +6.89pp -- the negative-quarter fact is load-bearing, not cosmetic.",conditional on the rebuilt 2B judge,0,0,0,1,0,6
r132verbatimadjudication,r132-verbatim-adjudication,C260,"Logistic, cluster-bootstrapped over 986 prompts, 4,000 fits across 5 seeds whose mean contested coefficients agree to three decimals (-1.1569 to -1.1627). Within-prompt permutation of the outcome puts the coefficient at -0.0618 (sd 0.1461) and the observed value at z = -7.46. STRUCTURAL LIMIT stated in the artifact: verbatim copying is ONE retention pathway and 92% of core is rewritten, so a pathway shift would read as a drop -- a limit that cuts identically for both disputants.",instrument-free,1,1,0,0,1,8
r133theveto,r133-the-veto,C346,"Cluster-bootstrapped over prompts, 4,000 fits across 5 seeds. core 0.1547 [0.1298,0.1831]; full_signed 0.1380 [0.1165,0.1595]; full_equal 0.2778 [0.2397,0.3190]; self 0.0390 [0.0311,0.0474] n=2,076; peer 0.1719 [0.1570,0.1871] n=2,275 at 11.1 peers per cell. Positive control: an arm that simply refuses vetoed responses scores exactly 0.0000. Placebo: a uniformly random top lands at 0.3728 (sd 0.0088) against an arithmetic chance of 0.3782, |diff| 0.0054. The FIRST run, without the peer comparator, returned W-COMPILER-FAILS -- a verdict that was unearned, because the self-rate is a same-person consistency floor and not a target any external rule could reach. MULTIPLICITY added after the standard's own detector reported it absent, and it was: BH q=0.05 over the four arm-versus-peer comparisons, all four survive. core - peer = -0.0172 [-0.0311,-0.0040] p 0.0155, so the compiled standard respects vetoes SIGNIFICANTLY BETTER than a human peer rather than merely no worse; full_signed - peer = -0.0339; full_equal - peer = +0.1059, so the naive unsigned arm is significantly WORSE than a person; self - peer = -0.1342.",conditional on the rebuilt 2B judge,0,1,0,0,0,8
independentdesigna2bseed4409,independent-design-A2-B-seed-4409,C430,"Same number from an independent design over 286,433 units covering 1,010 of 1,012 annotators: own 0.665-0.673 against stranger 0.628-0.633, +3.8 to +4.1pp, z 7.3-16.3, p to 1e-59. Its decisive addition is a criterion I did not have: the stranger-vs-stranger FLOOR has SD 0.29, so the own-advantage is 0.13-0.14 of it -- an eighth of the natural spread between any two people predicting the same person. Its pre-registered rule required significance AND index > 2; all six grid cells passed significance and all six failed the floor. Verdict OVERTURNED. Its subjectivity stratification points the same way as my personal-block contrast from a different angle: the own-advantage is 0.0425 on prompts with a single correct answer against 0.0370 on values-and-culture prompts -- LARGER where values should matter least, which is consistency, not values.",conditional on the rebuilt 2B judge,0,0,0,1,0,8
r134doratingsindividuate,r134-do-ratings-individuate,C430,"20 stranger draws per cell across 5 seeds whose stranger means span 0.6276-0.6289; prompt-clustered bootstrap; oracle positive control at 0.9192 shows the instrument can separate weightings. POWER: 51.6% of the assessments carrying a `personal` ranking give the SAME STRING as their `world` one, where the two advantages are equal by construction, so the contrast is read only on the 1,547 differing cells. FLAW STATED: the same-string arm conflates 'identical ranking' with 'no personal block at all' (13,378 vs 1,829 cells), so its 0.00979 derivation check is not clean; the differ-subset comparison is, because both arms require the block to exist.",conditional on the rebuilt 2B judge,0,1,0,1,0,7
r123thebaselinewascrippled,r123-the-baseline-was-crippled,C565,"Against the sign-corrected baseline the same quantity is 57.07%, not 12.46% -- the convention, not the world, was choosing the number.",conditional on the rebuilt 2B judge,0,0,0,1,0,8
r131whoisserved,r131-who-is-served,C565,Between-person spread 0.06870 against a within-person split-half floor of 0.06130 (equal) and 0.05348 against 0.05062 (signed): neither clears. The count was a statement about how many prompts each person happened to see.,conditional on the rebuilt 2B judge,0,1,0,1,0,8
r123thebaselinewascrippled,r123-the-baseline-was-crippled,C566,17.05% -> 35.54% purely by correcting how a negative rating is read.,conditional on the rebuilt 2B judge,0,0,0,0,0,8
r135whichtarget,r135-which-target,C660,"Derivation check passes exactly: on cells where the two rankings are the same string every arm's gap is 0.00e+00. Core's excess over the difficulty control is -0.0350. PARTITION FLAW STATED IN THE ARTIFACT: the pre-registered world set had no branch for a materially NEGATIVE excess, so the run labels this W-NOT-MEASURABLE, which is wrong for what happened. The fourth world is written into the file dated rather than retro-fitted into the branch, because repairing a partition after seeing the result is the move this project forbids.",conditional on the rebuilt 2B judge,0,1,0,0,0,7
r136heldoutconfirmation,r136-held-out-confirmation,C811,"12 salts, each a deterministic partition fixed before scoring. Pre-registered: CONFIRMED if the held-out half reproduces the sign and its CI contains the discovery point; FAILED if the sign flips or the confirmation CI contains zero when discovery's did not. WHAT IT DOES NOT BUY, stated in the artifact: both halves are one release, one panel, one judge, so a survivor is shown not to be an artifact of WHICH PROMPTS were read and nothing more. The word replication is not available for it.",conditional on the rebuilt 2B judge,0,0,1,0,0,8
sessionpartition20260730,session-partition-2026-07-30,C863,"The load-bearing result was re-fitted with the judge removed entirely: contested -> verbatim retention OR 0.3083 [0.1906, 0.4681] controlling |mean rating| and log rater count linearly, and OR 0.4343 [0.2610, 0.6627] with |mean rating| entered as quintile dummies, a non-parametric control. Both intervals exclude 1 over 3,000 prompt-clustered bootstrap fits across 5 seeds. Outcome is a normalised text match; predictor is the release's own ratings; no forward pass anywhere.",instrument-free,1,0,0,0,0,9
r137batchgauge,r137-batch-gauge,C916,"core 0.6604 -> 0.6607; full_equal 0.5941 -> 0.5937; full_signed 0.6806 -> 0.6803; core-minus-full_equal 0.0663 -> 0.0670; core-minus-full_signed -0.0202 -> -0.0196. Found while optimising for speed: the optimised judge disagreed with the reference by 4.2e-02 and the only behavioural difference was length-sorted batching, so the REFERENCE was re-run under five batchings to locate it.",conditional on the rebuilt 2B judge,0,1,0,0,0,8
r138isthereastandard,r138-is-there-a-standard,C970,"Estimator recovers planted ICCs of 0.0, 0.3 and 0.7 as 0.0002, 0.2975, 0.6996. The arithmetic check -- permuting within a criterion preserves its own numbers, so the value must be unchanged -- returns 0.00e+00. CI clustered on prompt over 2,000 fits across 5 seeds; the null is 400 permutations across the same 5 seeds. On the scale itself, which A6 rests on: only 16.5% of ratings are exactly +/-10, 20 of the 21 available values are used, mean +3.29 sd 5.44 -- the scale is genuinely used and is not a two-valued vote in a 21-point costume, which is a point FOR A6.",instrument-free,1,1,0,0,0,9
r140polaritywithoutthejudge,r140-polarity-without-the-judge,C1187,"No model is run and no benchmark is chosen. The comparison is relative, so a uniformly weak lexical proxy cancels. The one confound that could manufacture it runs BACKWARDS: negative criteria are shorter (88 chars against 101) and Jaccard divides by the union, so brevity should INFLATE their overlap. It is lower anyway. Limit stated rather than argued away: lexical overlap is a weak proxy for content and establishing more would require semantic matching, i.e. a second model between the claim and the data.",instrument-free,1,0,0,0,0,8
