old_path	new_path	note
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R106_share_level_under_redraw	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R106_share_level_under_redraw	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R107_joint_resample	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R107_joint_resample	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R108_coinflip_stratum	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R108_coinflip_stratum	arc renumbered
E03_the_instrument_was_the_object/A05_how_wide_every_interval_really_is/R109_donor_arm_is_text_blind	E03_the_instrument_was_the_object/A11_how_wide_every_interval_really_is/R109_donor_arm_is_text_blind	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R110_rater_component	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R110_rater_component	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R111_alpha_confound	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R111_alpha_confound	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R112_value_idiosyncrasy	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R112_value_idiosyncrasy	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R113_accuracy_matched_arm	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R113_accuracy_matched_arm	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R114_demographic_subject	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R114_demographic_subject	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R115_shrink_is_one_parameter	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R115_shrink_is_one_parameter	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R116_no_invisible_sacrifice	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R116_no_invisible_sacrifice	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R117_multidimensional_sacrifice	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R117_multidimensional_sacrifice	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R118_sacrifice_factorial	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R118_sacrifice_factorial	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R119_rigor_axis	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R119_rigor_axis	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R120_cell_calibration	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R120_cell_calibration	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R121_is_the_advantage_the_metric	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R121_is_the_advantage_the_metric	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R122_metric_gauge_grid	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R122_metric_gauge_grid	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R123_the_baseline_was_crippled	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R123_the_baseline_was_crippled	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R124_negative_quarter	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R124_negative_quarter	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R125_weight_discard	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R125_weight_discard	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R126_sham_ladder	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R126_sham_ladder	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R127_whose_sign	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R127_whose_sign	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R128_style_or_content	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R128_style_or_content	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R129_contested_criteria	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R129_contested_criteria	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R130_judge_gauge	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R130_judge_gauge	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R131_who_is_served	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R131_who_is_served	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R132_verbatim_adjudication	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R132_verbatim_adjudication	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R133_the_veto	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R133_the_veto	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R134_do_ratings_individuate	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R134_do_ratings_individuate	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R135_which_target	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R135_which_target	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R136_held_out_confirmation	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R136_held_out_confirmation	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R137_batch_gauge	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R137_batch_gauge	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R138_is_there_a_standard	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R138_is_there_a_standard	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R140_polarity_without_the_judge	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R140_polarity_without_the_judge	arc renumbered
E04_no_fraction_only_an_equivalence_class/A01_who_pays_for_compilation/R141_verification	E04_no_fraction_only_an_equivalence_class/A12_who_pays_for_compilation/R141_verification	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R142_provenance_recovery	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R142_provenance_recovery	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R143_flagship	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R143_flagship	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R144_information_loss	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R144_information_loss	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R145_who_is_unserved	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R145_who_is_unserved	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R146_does_compilation_add	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R146_does_compilation_add	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R147_tracking_vs_serving	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R147_tracking_vs_serving	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R148_departure_from_the_line	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R148_departure_from_the_line	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R149_price_of_inclusion	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R149_price_of_inclusion	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R150_does_the_veto_do_anything	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R150_does_the_veto_do_anything	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R151_none_of_the_above	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R151_none_of_the_above	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R152_what_fails_the_menu	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R152_what_fails_the_menu	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R153_the_menu_itself	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R153_the_menu_itself	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R154_the_empty_list	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R154_the_empty_list	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R155_does_the_weight_matter	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R155_does_the_weight_matter	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R156_the_compression_curve	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R156_the_compression_curve	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R157_is_it_a_quality_detector	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R157_is_it_a_quality_detector	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R158_the_rewriting_itself	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R158_the_rewriting_itself	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R159_which_outcome	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R159_which_outcome	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R160_out_of_sample	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R160_out_of_sample	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R161_the_join_underneath	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R161_the_join_underneath	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R162_whose_ranking	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R162_whose_ranking	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R164_instrument	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R164_instrument	arc renumbered
E04_no_fraction_only_an_equivalence_class/A02_the_chain_from_a_person_to_the_standard/R165_gauge_admissibility	E04_no_fraction_only_an_equivalence_class/A13_the_chain_from_a_person_to_the_standard/R165_gauge_admissibility	arc renumbered
